,0,1,2,3,4
0,dalit discourse,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
3,defence secretary,0,0,0,0
4,fake campaign,0,0,0,0
5,modi shah,rafalescam saugataroymp,shah,0,0
6,mahathugbandhan,mahathugbandhan is,mahabhrashtbandhan mahathugbandhan,0,0
7,0,0,0,0,0
8,0,0,0,0,0
9,parrikar admits,admits pmo,0,0,0
10,case tharoor,0,0,0,0
11,kerala rss,kerala,sewa bharathi,over kerala,kerala for
12,rahulgandhi dear,dear rahul,rahul gandhi,0,0
13,gandhi based,hindu clearly,gandhi,0,0
14,rafaledeal decision,of rafaledeal,0,0,0
15,rahul attacks,are rahul,0,0,0
16,crore rahulgandhi,rahulgandhi pakdagayamodi,pm modi,modi is,stolen countryâ
17,cancel rafaledeal,rafaledeal and,0,0,0
18,0,0,0,0,0
19,modi govt,0,0,0,0
20,exists rafalecongselfgoal,rafalecongselfgoal,0,0,0
21,0,0,0,0,0
22,0,0,0,0,0
23,constitutional institutions,0,0,0,0
24,racist sweat,0,0,0,0
25,merabharat,merabharat most,0,0,0
26,are whitaker,whitaker,0,0,0
27,the chowkidar,0,0,0,0
28,bail cancellation,manage judges,judges,0,0
29,modi is,modi,is coward,coward,0
30,angeltax extortionists,0,0,0,0
31,300ml water,700 water,drunk 300ml,1ltr bottle,water remained
32,modi attacking,0,0,0,0
33,0,0,0,0,0
34,bjp goons,bjp,attacks arvindkejriwal,0,0
35,anti hindu,the_hindu has,the_hindu,hindu since,hindu
36,mamata didi,0,0,0,0
37,0,0,0,0,0
38,the fisa,fisa,fisa mr,0,0
39,modi bhakts,0,0,0,0
40,kargil bjp,vijay diwas,bjp war,vijay,celebrate vijay
41,benghazi motherfuckers,whitakerhearing,whitakerhearing have,0,0
42,congress rafale,rafale attack,bring modi,0,0
43,0,0,0,0,0
44,rafale scam,rafale,on rafale,scam today,0
45,bank mergers,sbi merger,merger nda,nda govt,dena banks
46,climate chaos,0,0,0,0
47,promises workersagainstmodi,corporates modi,workersagainstmodi,modi,0
48,mamata corrupt,saradha scam,mamata stopping,why mamata,0
49,whitaker ought,whitaker,0,0,0
50,0,0,0,0,0
51,modi bluff,called modi,modi had,corrupt rafale,0
